15468;4,0;LC - Municipal Luis Eduardo Magalhães;LC;BA;Luís Eduardo Magalhães
1855;0,01;Metropasse - Cartão Metropasse;Metropasse;BA;Salvador
9481;10,4;Metropasse - Cartão A857I - Arembepe X Terminal Mussurunga;Metropasse;BA;Salvador
9482;7,4;Metropasse - Cartão A0857A - Arembepe X Terminal Aeroporto;Metropasse;BA;Salvador
9483;10,4;Metropasse - Cartão A803A2 Nova Dias Davila X Barroquinha;Metropasse;BA;Salvador
9484;10,4;Metropasse - Cartão A138 Praia do Forte X Terminal Mussurunga;Metropasse;BA;Salvador
9486;5,2;Metropasse - Cartão A0815I - Jd Campo Verde X Term. da Franca;Metropasse;BA;Salvador
9490;10,4;Metropasse - Cartão 861 I URB Mata de São João X Terminal Integração Pituaçu;Metropasse;BA;Salvador
9493;8,6;Metropasse - Cartão 861 I URB Mata de São João X Terminal de Integração de Pituaçu Via BR 324 e Av. Gal Costa;Metropasse;BA;Salvador
9494;5,2;Metropasse - Cartão A0818 - Jardim Renatão X Terminal da França;Metropasse;BA;Salvador
9496;5,2;Metropasse - Cartão A0819 - Simoes Filho X Itaigara;Metropasse;BA;Salvador
9497;5,2;Metropasse - Cartão A0819 I2 - Simões Filho X Estação Mussurunga;Metropasse;BA;Salvador
9500;5,2;Metropasse - Cartão A0824 - Areia Branca X Calcada;Metropasse;BA;Salvador
9501;5,2;Metropasse - Cartão 819 URB - Simões Filho X Itaigara, via Orla;Metropasse;BA;Salvador
9503;5,2;Metropasse - Cartão 822 Urb - Mapele/Ilha de São João X Terminal da França;Metropasse;BA;Salvador
9506;5,2;Metropasse - Cartão 824 A Urb - Areia Branca X Estação Retiro;Metropasse;BA;Salvador
9509;10,4;Metropasse - Cartão 861 A URB - Mata de São João X Estação Retiro;Metropasse;BA;Salvador
9510;5,2;Metropasse - Cartão 834A - Madre de Deus via Candeias X Lauro de Freitas via Simões Filho;Metropasse;BA;Salvador
9513;4,8;Metropasse - Cartão 840 Urb - Vilas do Atlântico X Comércio via Paralela;Metropasse;BA;Salvador
9514;5,2;Metropasse - Cartão 841.Urb - Vilas do Atlântico X Praça da Sé via Orla Marítima;Metropasse;BA;Salvador
9524;5,2;Metropasse - Cartão A0839 - Jaua X Praia do Flamengo;Metropasse;BA;Salvador
9528;5,2;Metropasse - Cartão 846 Urb - Lauro de Freitas X Estação da Lapa via AV;Metropasse;BA;Salvador
9529;5,2;Metropasse - Cartão A0841 - Vilas do Atlantico X Campo Grande;Metropasse;BA;Salvador
9532;5,2;Metropasse - Cartão 860 Urb - Portão X Estação Pituaçu via AV. Jorge Amado;Metropasse;BA;Salvador
9533;5,2;Metropasse - Cartão A0842 - Vilas do Atlantico X Praca da Se;Metropasse;BA;Salvador
9534;10,4;Metropasse - Cartão 138 URB Praia do Forte x Terminal Aeroporto;Metropasse;BA;Salvador
9535;4,8;Metropasse - Cartão 869I Urb - Simões Filho x Terminal Retiro;Metropasse;BA;Salvador
9543;5,2;Metropasse - Cartão 879.Urb - Lauro de Freitas X Terminal Rodoviária via Stiep;Metropasse;BA;Salvador
9544;5,2;Metropasse - Cartão 884 A Urb - Estação Barroquinha X Jauá via AV Vasco da Gama;Metropasse;BA;Salvador
9545;5,2;Metropasse - Cartão 884 Urb - Vila de Abrantes X Estação da Lapa via Itapuã;Metropasse;BA;Salvador
9548;5,2;Metropasse - Cartão 885 Urb - Vila de Abrantes X Terminal da França via Paralela;Metropasse;BA;Salvador
9549;5,2;Metropasse - Cartão 885.Urb - Vila de Abrantes X Terminal Aeroporto;Metropasse;BA;Salvador
9550;5,2;Metropasse - Cartão A0846 - Lauro de Freitas X Lapa Via Av. Centenário - Terminal Aeroporto;Metropasse;BA;Salvador
9554;7,4;Metropasse - Cartão 903 - Candeias X Outlet Premiun via Simões Filho;Metropasse;BA;Salvador
9555;10,4;Metropasse - Cartão 048 A2 URB - São Sebastião do Passé X Estação Retiro;Metropasse;BA;Salvador
9557;5,2;Metropasse - Cartão A0815 - Simoes Filho X Terminal da Franca;Metropasse;BA;Salvador
9559;5,2;Metropasse - Cartão A0815 Urb - Simões Filho X Terminal da França via AV. Suburbana;Metropasse;BA;Salvador
9574;5,2;Metropasse - Cartão A0884 - Vila de Abrantes X Lapa;Metropasse;BA;Salvador
9575;5,2;Metropasse - Cartão A0884A - Jaua X Lapa;Metropasse;BA;Salvador
9577;5,2;Metropasse - Cartão A0885A - Jaua X Estação Mussurunga;Metropasse;BA;Salvador
9578;5,2;Metropasse - Cartão A0885A - Jaua X Terminal de Franca;Metropasse;BA;Salvador
9580;5,2;Metropasse - Cartão A0886 - Jaua / Areias X Terminal de Franca;Metropasse;BA;Salvador
9582;10,4;Metropasse - Cartão A805A - Madre de Deus X Terminal Retiro;Metropasse;BA;Salvador
9583;5,2;Metropasse - Cartão A824 - Areia Branca X Calçada / Via Retiro;Metropasse;BA;Salvador
9584;5,2;Metropasse - Cartão A875 - Areia Branca X Barroquinha;Metropasse;BA;Salvador
9587;10,4;Metropasse - Cartão A0847 Urb - Barra do Pojuca / Terminal Aeroporto X Monte Gordo;Metropasse;BA;Salvador
9588;10,4;Metropasse - Cartão 889 A - Dias D´Avila - Itapuã via BA 099/Aeroporto (Expresso Luxo Vitória);Metropasse;BA;Salvador
9589;10,4;Metropasse - Cartão 889 A2 - Mata São João X Itapuã Via Dias D´Avila / Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;BA;Salvador
9591;10,4;Metropasse - Cartão 889 - Nova Dias DÂ´ Avila X Itapuã (Expresso Luxo Vitória);Metropasse;BA;Salvador
15031;5,2;Metropasse - Cartão A0860 Portão X Terminal Da França (Costa Verde);Metropasse;BA;Salvador
15032;5,2;Metropasse - Cartão A0883A3 Vida Nova X Terminal Aeroporto Parque São Paulo (Expresso Luxo Vitória);Metropasse;BA;Salvador
15033;5,2;Metropasse - Cartão A937 Buraquinho X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;BA;Salvador
15034;5,2;Metropasse - Cartão A0885E2 Terminal Aeroporto X Residencial Recanto De Abrantes (Expresso Luxo Vitória);Metropasse;BA;Salvador
15035;5,2;Metropasse - Cartão A0883 Vida Nova X Terminal Aeroporto Via Ba 099 (Expresso Luxo Vitória);Metropasse;BA;Salvador
15036;5,2;Metropasse - Cartão A0885E Terminal Aeroporto X Outlet Premium (Expresso Luxo Vitória);Metropasse;BA;Salvador
15037;5,2;Metropasse - Cartão A0858A Praia De Ipitanga X Terminal Aeroporto (Amarílio) (Expresso Luxo Vitória);Metropasse;BA;Salvador
15038;5,2;Metropasse - Cartão A0858A2Mic Praia De Ipitanga X Terminal Aeroporto Via Praça Ar (Expresso Luxo Vitória);Metropasse;BA;Salvador
15039;5,2;Metropasse - Cartão A0883 Urb Vida Nova X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;BA;Salvador
15040;5,2;Metropasse - Cartão A0854 Portão X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;BA;Salvador
15041;5,2;Metropasse - Cartão A0883E Terminal Aeroporto X Conjunto Brisa Via Ba 099 (Expresso Luxo Vitória);Metropasse;BA;Salvador
15042;10,4;Metropasse - Cartão A 803 A2 Urb N. Dias D´Avila X Estação Do Retiro (Brisa);Metropasse;BA;Salvador
